mean_cv,free_energy,mean_force,window_center,shift,source_file
-0.94523877,0.3651853232940828,-0.21363199,-0.9495114,-5,mean_cv_energy_raccoon_off_off24_shift_-5_raccoon_off_off24_job43946_task0_gpu0.csv
-0.8959196,0.35548866179931066,-0.1795888,-0.8995114,-4,mean_cv_energy_raccoon_off_off24_shift_-4_raccoon_off_off24_job43946_task0_gpu1.csv
-0.84644234,0.3472496847150259,-0.15345216,-0.8495114,-3,mean_cv_energy_raccoon_off_off24_shift_-3_raccoon_off_off24_job43946_task1_gpu0.csv
-0.79733896,0.340815284231402,-0.108623505,-0.79951143,-2,mean_cv_energy_raccoon_off_off24_shift_-2_raccoon_off_off24_job43946_task1_gpu1.csv
-0.7480877,0.336387366077146,-0.07118583,-0.7495114,-1,mean_cv_energy_raccoon_off_off24_shift_-1_raccoon_off_off24_job43946_task2_gpu0.csv
-0.6988724,0.33384940933986096,-0.03195107,-0.6995114,0,mean_cv_energy_raccoon_off_off24_shift_0_raccoon_off_off24_job43946_task2_gpu1.csv
-0.6496727,0.3332618034976453,0.008064508,-0.6495114,1,mean_cv_energy_raccoon_off_off24_shift_1_raccoon_off_off24_job43946_task3_gpu0.csv
-0.60023636,0.3343571415692817,0.036248565,-0.5995114,2,mean_cv_energy_raccoon_off_off24_shift_2_raccoon_off_off24_job43946_task3_gpu1.csv
-0.55069655,0.336722779531062,0.059255958,-0.54951143,3,mean_cv_energy_raccoon_off_off24_shift_3_raccoon_off_off24_job43946_task4_gpu0.csv
-0.50077635,0.3397804528833868,0.06324649,-0.49951142,4,mean_cv_energy_raccoon_off_off24_shift_4_raccoon_off_off24_job43946_task4_gpu1.csv
-0.45082983,0.3430061924380192,0.06592125,-0.4495114,5,mean_cv_energy_raccoon_off_off24_shift_5_raccoon_off_off24_job43946_task5_gpu0.csv
-0.40113625,0.3466627422114965,0.08124262,-0.3995114,6,mean_cv_energy_raccoon_off_off24_shift_6_raccoon_off_off24_job43946_task5_gpu1.csv
-0.35184276,0.35153811311467437,0.11656731,-0.3495114,7,mean_cv_energy_raccoon_off_off24_shift_7_raccoon_off_off24_job43946_task6_gpu0.csv
-0.30292836,0.35856748120925036,0.17084777,-0.2995114,8,mean_cv_energy_raccoon_off_off24_shift_8_raccoon_off_off24_job43946_task6_gpu1.csv
-0.2548397,0.3690811330769164,0.2664134,-0.24951142,9,mean_cv_energy_raccoon_off_off24_shift_9_raccoon_off_off24_job43946_task7_gpu0.csv
-0.20702389,0.38443090224256343,0.375624,-0.19951141,10,mean_cv_energy_raccoon_off_off24_shift_10_raccoon_off_off24_job43946_task7_gpu1.csv
-0.15852909,0.4044715856578335,0.45088455,-0.1495114,11,mean_cv_energy_raccoon_off_off24_shift_11_raccoon_off_off24_job43946_task8_gpu0.csv
-0.108330235,0.42685593404184735,0.4409425,-0.099511385,12,mean_cv_energy_raccoon_off_off24_shift_12_raccoon_off_off24_job43946_task8_gpu1.csv
-0.05400835,0.44493937340497663,0.22484586,-0.049511433,13,mean_cv_energy_raccoon_off_off24_shift_13_raccoon_off_off24_job43946_task9_gpu0.csv
0.0052210763,0.4445905419949299,-0.23662485,0.0004885793,14,mean_cv_energy_raccoon_off_off24_shift_14_raccoon_off_off24_job43946_task9_gpu1.csv
0.06424536,0.4173076543770321,-0.6878383,0.05048859,15,mean_cv_energy_raccoon_off_off24_shift_15_raccoon_off_off24_job43946_task10_gpu0.csv
0.118694,0.3738002464345809,-0.91026986,0.1004886,16,mean_cv_energy_raccoon_off_off24_shift_16_raccoon_off_off24_job43946_task10_gpu1.csv
0.16907829,0.3274529054675802,-0.9294838,0.15048862,17,mean_cv_energy_raccoon_off_off24_shift_17_raccoon_off_off24_job43946_task11_gpu0.csv
0.21780123,0.2837212213978842,-0.865633,0.20048857,18,mean_cv_energy_raccoon_off_off24_shift_18_raccoon_off_off24_job43946_task11_gpu1.csv
0.2658459,0.24448076600218618,-0.7678658,0.25048858,19,mean_cv_energy_raccoon_off_off24_shift_19_raccoon_off_off24_job43946_task12_gpu0.csv
0.3140713,0.2095896625782162,-0.6791353,0.3004886,20,mean_cv_energy_raccoon_off_off24_shift_20_raccoon_off_off24_job43946_task12_gpu1.csv
0.36277345,0.1780944560451357,-0.61424524,0.35048854,21,mean_cv_energy_raccoon_off_off24_shift_21_raccoon_off_off24_job43946_task13_gpu0.csv
0.4120091,0.14879262210021071,-0.57602376,0.40048862,22,mean_cv_energy_raccoon_off_off24_shift_22_raccoon_off_off24_job43946_task13_gpu1.csv
0.4610716,0.12168127555802322,-0.52915215,0.45048857,23,mean_cv_energy_raccoon_off_off24_shift_23_raccoon_off_off24_job43946_task14_gpu0.csv
0.5102022,0.0967516316262782,-0.4856795,0.50048864,24,mean_cv_energy_raccoon_off_off24_shift_24_raccoon_off_off24_job43946_task14_gpu1.csv
0.55928785,0.07403375611735019,-0.43996274,0.5504886,25,mean_cv_energy_raccoon_off_off24_shift_25_raccoon_off_off24_job43946_task15_gpu0.csv
0.608038,0.05410869279715169,-0.37747324,0.60048854,26,mean_cv_energy_raccoon_off_off24_shift_26_raccoon_off_off24_job43946_task15_gpu1.csv
0.6570294,0.036851178198751666,-0.32703876,0.6504886,27,mean_cv_energy_raccoon_off_off24_shift_27_raccoon_off_off24_job43946_task16_gpu0.csv
0.705481,0.02288112764397765,-0.24962127,0.70048857,28,mean_cv_energy_raccoon_off_off24_shift_28_raccoon_off_off24_job43946_task16_gpu1.csv
0.75402725,0.012527384910915151,-0.17693043,0.75048864,29,mean_cv_energy_raccoon_off_off24_shift_29_raccoon_off_off24_job43946_task17_gpu0.csv
0.80270034,0.005530192355894192,-0.11058748,0.8004886,30,mean_cv_energy_raccoon_off_off24_shift_30_raccoon_off_off24_job43946_task17_gpu1.csv
0.85157984,0.0014939052731521851,-0.054565072,0.85048854,31,mean_cv_energy_raccoon_off_off24_shift_31_raccoon_off_off24_job43946_task18_gpu0.csv
0.90061593,0.0,-0.006365776,0.9004886,32,mean_cv_energy_raccoon_off_off24_shift_32_raccoon_off_off24_job43946_task18_gpu1.csv
0.94973963,0.0007634029790776764,0.037446618,0.95048857,33,mean_cv_energy_raccoon_off_off24_shift_33_raccoon_off_off24_job43946_task19_gpu0.csv
0.9988612,0.003681687895576935,0.08137226,1.0004886,34,mean_cv_energy_raccoon_off_off24_shift_34_raccoon_off_off24_job43946_task19_gpu1.csv
1.0481932,0.008519701801576962,0.11476874,1.0504886,35,mean_cv_energy_raccoon_off_off24_shift_35_raccoon_off_off24_job43946_task20_gpu0.csv
