mean_cv,free_energy,mean_force,window_center,shift,source_file
-0.11263169,0.2150551133899555,0.6560154,-0.099511385,12,mean_cv_energy_raccoon_off_off24_shift_12_raccoon_off_off24_job43945_task8_gpu1.csv
-0.058395777,0.24489117317663742,0.4442172,-0.049511433,13,mean_cv_energy_raccoon_off_off24_shift_13_raccoon_off_off24_job43945_task9_gpu0.csv
0.00061782374,0.25780792188214763,-0.0064622234,0.0004885793,14,mean_cv_energy_raccoon_off_off24_shift_14_raccoon_off_off24_job43945_task9_gpu1.csv
0.059206083,0.2448500496373456,-0.4358746,0.05048859,15,mean_cv_energy_raccoon_off_off24_shift_15_raccoon_off_off24_job43945_task10_gpu0.csv
0.113376625,0.2155904895481309,-0.6444011,0.1004886,16,mean_cv_energy_raccoon_off_off24_shift_16_raccoon_off_off24_job43945_task10_gpu1.csv
0.16340646,0.1833139065963364,-0.6458923,0.15048862,17,mean_cv_energy_raccoon_off_off24_shift_17_raccoon_off_off24_job43945_task11_gpu0.csv
0.21184295,0.1539223625639646,-0.56771934,0.20048857,18,mean_cv_energy_raccoon_off_off24_shift_18_raccoon_off_off24_job43945_task11_gpu1.csv
0.26000497,0.1287928957306372,-0.4758194,0.25048858,19,mean_cv_energy_raccoon_off_off24_shift_19_raccoon_off_off24_job43945_task12_gpu0.csv
0.30848545,0.10756663238929481,-0.39984286,0.3004886,20,mean_cv_energy_raccoon_off_off24_shift_20_raccoon_off_off24_job43945_task12_gpu1.csv
0.35733712,0.0894360302280589,-0.34242868,0.35048854,21,mean_cv_energy_raccoon_off_off24_shift_21_raccoon_off_off24_job43945_task13_gpu0.csv
0.40677652,0.07319954269200192,-0.31439513,0.40048862,22,mean_cv_energy_raccoon_off_off24_shift_22_raccoon_off_off24_job43945_task13_gpu1.csv
0.45631757,0.05819243282664066,-0.29145032,0.45048857,23,mean_cv_energy_raccoon_off_off24_shift_23_raccoon_off_off24_job43945_task14_gpu0.csv
0.5061803,0.04383115133100515,-0.28458238,0.50048864,24,mean_cv_energy_raccoon_off_off24_shift_24_raccoon_off_off24_job43945_task14_gpu1.csv
0.5554979,0.030637532887877163,-0.25046468,0.5504886,25,mean_cv_energy_raccoon_off_off24_shift_25_raccoon_off_off24_job43945_task15_gpu0.csv
0.60452163,0.019555250299637,-0.20165443,0.60048854,26,mean_cv_energy_raccoon_off_off24_shift_26_raccoon_off_off24_job43945_task15_gpu1.csv
0.6534353,0.011020104208995048,-0.14733374,0.6504886,27,mean_cv_energy_raccoon_off_off24_shift_27_raccoon_off_off24_job43945_task16_gpu0.csv
0.7022903,0.005220522273495051,-0.09008646,0.70048857,28,mean_cv_energy_raccoon_off_off24_shift_28_raccoon_off_off24_job43945_task16_gpu1.csv
0.7512204,0.0021214176917065536,-0.03658831,0.75048864,29,mean_cv_energy_raccoon_off_off24_shift_29_raccoon_off_off24_job43945_task17_gpu0.csv
0.79988647,0.0019636908615044135,0.030106306,0.8004886,30,mean_cv_energy_raccoon_off_off24_shift_30_raccoon_off_off24_job43945_task17_gpu1.csv
0.84870905,0.00487061500592985,0.08897483,0.85048854,31,mean_cv_energy_raccoon_off_off24_shift_31_raccoon_off_off24_job43945_task18_gpu0.csv
0.897918,0.010222243080577603,0.12853146,0.9004886,32,mean_cv_energy_raccoon_off_off24_shift_32_raccoon_off_off24_job43945_task18_gpu1.csv
0.94710755,0.017541209349791607,0.1690507,0.95048857,33,mean_cv_energy_raccoon_off_off24_shift_33_raccoon_off_off24_job43945_task19_gpu0.csv
0.9963904,0.026756178985596853,0.20491183,1.0004886,34,mean_cv_energy_raccoon_off_off24_shift_34_raccoon_off_off24_job43945_task19_gpu1.csv
1.0457249,0.03768618689273434,0.23818612,1.0504886,35,mean_cv_energy_raccoon_off_off24_shift_35_raccoon_off_off24_job43945_task20_gpu0.csv
